Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Bacillus albus		SXL388					5889853
Bacillus albus		SXL388					5889853
Lysinibacillus pakistanensis		LY1					5249694
Lysinibacillus pakistanensis		LY1					5249694
Paenibacillus woosongensis		B2_4					5289572
Paenibacillus woosongensis		B2_4					5289572
Bacillus arachidis		YX15					5218944
Bacillus arachidis		YX15					5218944
Bacillus hominis		SIN2.1					5526302
Bacillus hominis		SIN2.1					5526302
Cytobacillus kochii		RZ2					4726859
Cytobacillus kochii		RZ2					4726859
Bacillus subtilis		KF24					4237328
Bacillus subtilis		KF24					4237328
Bacillus subtilis		C1_13					4090469
Bacillus subtilis		C1_13					4090469
Bacillus subtilis		C1_9					4090469
Bacillus subtilis		C1_9					4090469
Bacillus subtilis		G2S2					4085814
Bacillus subtilis		G2S2					4085814
Bacillus velezensis		MB7_B11					4002233
Bacillus velezensis		MB7_B11					4002233
Bacillus velezensis		NJ26					3929586
Bacillus velezensis		NJ26					3929586
Bacillus cereus		D5_B_69					5332520
Bacillus cereus		D5_B_69					5332520
Bacillus anthracis		Mn106-1 head2 chi					5327801
Bacillus anthracis		Mn106-1 head2 chi					5327801
Paenibacillus polymyxa		ACCC03434					5828096
Paenibacillus polymyxa		ACCC03434					5828096
Bacillus altitudinis		D9_B_49					3919705
Bacillus altitudinis		D9_B_49					3919705
Bacillus altitudinis		G6S2					3797173
Bacillus altitudinis		G6S2					3797173
Bacillus altitudinis		CES-OCA-19					3788886
Bacillus altitudinis		CES-OCA-19					3788886
Bacillus pumilus		B2_10					3892007
Bacillus pumilus		B2_10					3892007
Bacillus pumilus		Monterrey_S2					3813964
Bacillus pumilus		Monterrey_S2					3813964
Bacillus safensis		CEW-AP100					3781803
Bacillus safensis		CEW-AP100					3781803
Bacillus safensis		CEW AP102					3777634
Bacillus safensis		CEW AP102					3777634
Bacillus safensis		G6S3					3677506
Bacillus safensis		G6S3					3677506
Bacillus paralicheniformis		CEW 1W					4335104
Bacillus paralicheniformis		CEW 1W					4335104
Bacillus halotolerans		LN2					4252134
Bacillus halotolerans		LN2					4252134
Bacillus halotolerans		KF17					4223135
Bacillus halotolerans		KF17					4223135
Bacillus halotolerans		Tehuacan_S4					4091749
Bacillus halotolerans		Tehuacan_S4					4091749
Bacillus mycoides		SIN2.2					6330179
Bacillus mycoides		SIN2.2					6330179
Bacillus mycoides		SIN3.2					6138997
Bacillus mycoides		SIN3.2					6138997
Bacillus mycoides		SIN3.1					6137878
Bacillus mycoides		SIN3.1					6137878
Bacillus mycoides		G5S2					5338331
Bacillus mycoides		G5S2					5338331
Bacillus toyonensis		Monterrey_S3					5678058
Bacillus toyonensis		Monterrey_S3					5678058
Bacillus toyonensis		Cuernavaca_S4					5730405
Bacillus toyonensis		Cuernavaca_S4					5730405
Bacillus toyonensis		Puebla_S2					5825843
Bacillus toyonensis		Puebla_S2					5825843
Peribacillus frigoritolerans		LN4					5525235
Peribacillus frigoritolerans		LN4					5525235
Peribacillus frigoritolerans		CF20					5501225
Peribacillus frigoritolerans		CF20					5501225
Peribacillus frigoritolerans		LC22					5451292
Peribacillus frigoritolerans		LC22					5451292
Peribacillus frigoritolerans		CF29					5436505
Peribacillus frigoritolerans		CF29					5436505
Cytobacillus firmus		SQ11					5085204
Cytobacillus firmus		SQ11					5085204
Cytobacillus firmus		LN5					5004067
Cytobacillus firmus		LN5					5004067
Peribacillus simplex		WH6					5786109
Peribacillus simplex		WH6					5786109
Peribacillus simplex		RZ14					5783869
Peribacillus simplex		RZ14					5783869
Peribacillus simplex		D9_B_73					5348884
Peribacillus simplex		D9_B_73					5348884
Bacillus wiedmannii		LN15					5391143
Bacillus wiedmannii		LN15					5391143
