Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Paenibacillus polymyxa ATCC 842		ATCC 842					5967522
Brevibacillus laterosporus DSM 25		DSM 25					5400144
Brevibacillus brevis		NCTC2611					6726998
Brevibacillus agri		DSM 6348					5374818
Paenibacillus riograndensis SBR5					SBR5(T)		7919576
Paenibacillus chitinolyticus		KCCM 41400					6509090
Paenibacillus odorifer		DSM 15391					6812473
Paenibacillus kribbensis		AM49					5778702
Paenibacillus sophorae		DSM 23020					5867720
Paenibacillus durus		DSM 1735					6053498
Paenibacillus bovis		BD3526					5517199
Aneurinibacillus soli		CB4					4116770
Paenibacillus graminis		DSM 15220					7166464
Thermobacillus composti KWC4		KWC4					4355525
Paenibacillus donghaensis		KCTC 13049					8542333
Cohnella herbarum		MFER-1					8522788
Paenibacillus borealis		DSM 13188					8156808
Paenibacillus psychroresistens		ML311-T8					8101785
Paenibacillus andongensis		SS4					7639302
Paenibacillus spongiae		PHS-Z3					7613364
Paenibacillus baekrokdamisoli		KCTC 33723					7261317
Cohnella abietis		KCTC 43028					7059027
Paenibacillus rhizovicinus		14171R-81					7524325
Paenibacillus guangzhouensis		KCTC 33171					6948340
Paenibacillus lycopersici		12200R-189					6743310
Paenibacillus silvisoli		TW38					6734763
Paenibacillus albus		18JY67-1					6632345
Paenibacillus ihbetae		IHBB 9852					6593819
Paenibacillus hexagrammi		YPD9-1					6639679
Paenibacillus lutimineralis		MBLB1234					6497679
Paenibacillus pedocola		TW48					6472393
Cohnella cholangitidis		1605-214					6408853
Paenibacillus aurantius		MBLB1776					6303770
Paenibacillus tianjinensis		TB2019					6273877
Paenibacillus beijingensis		DSM 24997					5749967
Paenibacillus stellifer		DSM 14472					5658798
Brevibacillus ruminantium		BB3-R1					5636736
Saccharibacillus brassicae		ATSA2					5619468
Cohnella candidum		18JY8-7					5289049
Paenibacillus lentus		DSM 25539					5288676
Paenibacillus sabinae T27		T27					5270569
Paenibacillus albicereus		UniB2					5168992
Paenibacillus swuensis		DY6					5012599
Paenibacillus yonginensis		DCY84					4985901
Paenibacillus polygoni		C31					4939088
Brevibacillus humidisoli		MMS20-4M-10-Y					4908260
Paenibacillus crassostreae		LPB0068					4757181
Paenibacillus algicola		HB172198					4475055
Brevibacillus composti		FJAT-54423					4468589
Paenibacillus protaetiae		FW100M-2					4228822
Brevibacillus marinus		SCSIO 07484					4079826
Aneurinibacillus uraniidurans		B1					3853322
Paenibacillus larvae subsp. larvae		Eric_IV					4378174
Brevibacillus borstelensis		CP19					5602664
Paenibacillus mucilaginosus K02		K02					8819200
Paenibacillus elgii		L146					7750416
Paenibacillus amylolyticus		Y5S-7					7361451
Paenibacillus dendritiformis		J27TS7					6547390
Brevibacillus parabrevis		B3					6088079
Paenibacillus antarcticus		KACC 11469					5415779
Paenibacillus jilunlii		KACC 16679					7105405
Paenibacillus xylanexedens		PAMC 22703					7098239
Paenibacillus brasilensis		KACC 13842					5643381
Paenibacillus naphthalenovorans		32O-Y					5200139
Paenibacillus agaridevorans		HCL2020					9041977
Paenibacillus tritici		PH55-1					7708938
Paenibacillus barcinonensis		KACC11450					6393895
Paenibacillus hunanensis		Y9					5688415
Paenibacillus cellulosilyticus		KACC 14175					7132339
Aneurinibacillus thermoaerophilus		CCM 8960					3731915
Paenibacillus terrae HPL-003		HPL-003					6083395
Paenibacillus urinalis		2022CK-00829					5861041
Paenibacillus azoreducens		J34TS1					7316152
Paenibacillus marchantiae		BMpBG1					6983959
Paenibacillus tundrae		MLY93					6534616
Paenibacillus cellulositrophicus		KACC 16577					7424799
Paenibacillus woosongensis		B2_4					5289572
Paenibacillus kyungheensis		KACC 18744					5260882
Paenibacillus nuruki		AASFL403			AASFL403		5066866
Brevibacillus aydinogluensis		4475			4475		4105500
Paenibacillus thiaminolyticus		NRRL B-4156					6612542
Paenibacillus glucanolyticus		DSM 5162					5897585
Paenibacillus uliginis N3/975		N3/975					6452185
Paenibacillus physcomitrellae		XB					4828665
Paenibacillus peoriae KCTC 3763		KCTC 3763					5771987
Aneurinibacillus migulanus		DSM 2895					6348994
Brevibacillus formosus		DSM 9885					6215362
Brevibacillus reuszeri		DSM 9887					6986486
Paenibacillus qinlingensis		TEGT-2					8964429
Paenibacillus massiliensis 2301065 = DSM 16942		DSM 16942					6385800
Aneurinibacillus aneurinilyticus ATCC 12856		ATCC 12856					5313859
Brevibacillus choshinensis		DSM 8552					6279095
Paenibacillus castaneae		DSM 19417					6305522
Paenibacillus mendelii		C/2					8136757
Paenibacillus algorifonticola		CGMCC 1.10223					7468281
Paenibacillus anaericanus		DSM 15890					6069163
Paenibacillus typhae		CGMCC 1.11012					6740451
Paenibacillus senegalensis JC66		JC66					5614755
Paenibacillus macquariensis		ATCC 23464					6263229
Paenibacillus pinihumi DSM 23905 = JCM 16419		DSM 23905					6760575
Paenibacillus sanguinis 2301083 = DSM 16941		DSM 16941					4804136
Paenibacillus curdlanolyticus YK9		YK9					5452778
Paenibacillus rhizosphaerae		CECT 5831					7550850
Paenibacillus silvae		CGMCC 1.12770					6853520
Cohnella pontilimi		CAU 1483					4289335
Paenibacillus etheri		SH7					6634505
Paenibacillus sinensis		HN-1					6317529
Paenibacillus darwinianus		Br					3004450
Cohnella panacarvi Gsoil 349		Gsoil 349					4772825
Paenibacillus harenae DSM 16969		DSM 16969					6968425
Paenibacillus terrigena DSM 21567		DSM 21567					6361561
Saccharibacillus sacchari DSM 19268		DSM 19268					6075237
Paenibacillus assamensis DSM 18201		DSM 18201					5027965
Paenibacillus taiwanensis DSM 18679		DSM 18679					5247653
Paenibacillus daejeonensis DSM 15491		DSM 15491					7464058
Saccharibacillus kuerlensis DSM 22868		DSM 22868					4699563
Paenibacillus fonticola DSM 21315		DSM 21315					6309271
Cohnella laeviribosi DSM 21336		DSM 21336					4476185
Paenibacillus ginsengihumi DSM 21568		DSM 21568					5675308
Cohnella thermotolerans DSM 17683		DSM 17683					5051029
Aneurinibacillus terranovensis DSM 18919		DSM 18919					4247673
Paenibacillus segetis		CGMCC 1.12769					5502902
Cohnella ginsengisoli		DSM 18997					7220644
Paenibacillus dokdonensis		YH-JAE5					6476225
