Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Assembly Stats Total Sequence Length
Bacillus subtilis subsp. subtilis str. 168		168					4215606
Bacillus velezensis FZB42		FZB42					3918596
Staphylococcus epidermidis		ATCC 14990					2491058
Priestia megaterium NBRC 15308 = ATCC 14581		ATCC 14581					5746548
Bacillus licheniformis		ATCC 14580					4227253
Paenibacillus polymyxa ATCC 842		ATCC 842					5967522
Heyndrickxia coagulans DSM 1 = ATCC 7050		ATCC 7050					3366995
Staphylococcus pseudintermedius		FDAARGOS_930					2562839
Staphylococcus haemolyticus		ATCC 29970					2572027
Mammaliicoccus sciuri		NCTC12103					2811859
Brevibacillus laterosporus DSM 25		DSM 25					5400144
Staphylococcus argenteus		MSHR1132					2787638
Staphylococcus capitis subsp. urealyticus		DSM 6717					2497742
Shouchella clausii		ATCC 700160					4498248
Staphylococcus saprophyticus subsp. saprophyticus ATCC 15305 = NCTC 7292		ATCC 15305					2577899
Bacillus spizizenii TU-B-10		TU-B-10					4207222
Lysinibacillus sphaericus		DSM 28					4681723
Brevibacillus brevis		NCTC2611					6726998
Listeria innocua		ATCC 33090					2887185
Peribacillus simplex NBRC 15720 = DSM 1321		DSM 1321					5645783
Parageobacillus thermoglucosidasius		Wild Type					4004923
Geobacillus thermoleovorans		KCTC 3570					3499317
Listeria ivanovii subsp. ivanovii		WSLC 3010					2919548
Macrococcoides caseolyticum		FDAARGOS_868					2170973
Planococcus maritimus		DSM 17275					3280721
Listeria seeligeri serovar 1/2b str. SLCC3954		SLCC3954					2797636
Staphylococcus hyicus		ATCC 11249					2472129
Staphylococcus carnosus		FDAARGOS_883					2571374
Geobacillus subterraneus		KCTC3922(T)					3474426
Brevibacillus agri		DSM 6348					5374818
Listeria grayi		NCTC 10812					2751104
Paenibacillus riograndensis SBR5					SBR5(T)		7919576
Alicyclobacillus acidocaldarius subsp. acidocaldarius DSM 446		DSM 446					3205686
Virgibacillus pantothenticus		DSM 26					4761851
Staphylococcus felis		ATCC 49168					2479423
